Marca,Modelo,Estado,Tienda,Año,Precio,Almacenamiento (GB)
Dell,Workstation,Usado,TechStore,2018,2750,512
Apple,Gaming,Nuevo,PCWorld,2015,4450,1920
Acer,Workstation,Certificado,GadgetPlus,2001,2100,1664
HP,Laptop,Nuevo,GadgetPlus,2007,2650,1664
Lenovo,All-in-One,Nuevo,TechStore,2021,4850,384
HP,Desktop,Usado,ElectroShop,2021,1100,1664
MSI,All-in-One,Nuevo,TechStore,2017,1250,1280
Apple,Workstation,Certificado,ComputoMx,2015,500,1664
Toshiba,Desktop,Usado,GadgetPlus,2005,2950,640
Lenovo,Convertible,Certificado,GadgetPlus,2009,3600,512
Acer,Laptop,Nuevo,ComputoMx,2009,4650,1280
HP,All-in-One,Usado,ElectroShop,2010,4800,1280
HP,Convertible,Usado,GadgetPlus,2006,2750,1664
HP,Laptop,Certificado,PCWorld,2010,3200,896
Samsung,Gaming,Usado,TechStore,2019,2100,1792
Asus,Laptop,Certificado,PCWorld,2002,3800,1792
MSI,Desktop,Nuevo,ElectroShop,2015,4650,1408
Toshiba,All-in-One,Usado,ElectroShop,2016,3850,1280
HP,Desktop,Certificado,PCWorld,2001,3950,1920
Toshiba,Desktop,Usado,TechStore,2017,3100,1536
Lenovo,Desktop,Usado,PCWorld,2019,450,384
Acer,Workstation,Certificado,PCWorld,2013,4850,1664
Acer,Laptop,Certificado,ComputoMx,2010,1950,640
Toshiba,Workstation,Nuevo,ComputoMx,2000,4300,1408
Asus,Workstation,Usado,ComputoMx,2013,3450,640
MSI,Laptop,Usado,ComputoMx,2008,3600,1408
Acer,Desktop,Nuevo,ElectroShop,2016,2450,128
Dell,Gaming,Certificado,GadgetPlus,2015,2000,1792
Sony,Laptop,Certificado,PCWorld,2023,4400,256
Apple,Desktop,Certificado,GadgetPlus,2019,3150,896
Sony,All-in-One,Nuevo,ComputoMx,2014,3750,384
Acer,Gaming,Nuevo,ElectroShop,2021,4900,384
Apple,Desktop,Usado,TechStore,2015,3550,1920
Sony,Gaming,Usado,TechStore,2015,700,1664
Asus,Workstation,Usado,TechStore,2000,4000,1664
HP,Laptop,Certificado,PCWorld,2015,2250,896
HP,Convertible,Nuevo,PCWorld,2015,3700,1152
Sony,Gaming,Nuevo,GadgetPlus,2005,3550,1920
Acer,Desktop,Certificado,PCWorld,2004,650,1664
HP,Gaming,Certificado,TechStore,2006,650,1920
HP,Desktop,Nuevo,ElectroShop,2000,1450,1280
MSI,Desktop,Certificado,ComputoMx,2020,350,1792
Asus,Convertible,Certificado,ComputoMx,2016,2600,1408
Acer,Workstation,Usado,ComputoMx,2017,2900,1920
Acer,Desktop,Usado,GadgetPlus,2024,1500,1408
Sony,Laptop,Usado,ElectroShop,2024,1550,1792
Samsung,Gaming,Nuevo,GadgetPlus,2006,4000,1536
Apple,All-in-One,Nuevo,GadgetPlus,2006,4850,1536
Toshiba,Laptop,Nuevo,ElectroShop,2024,550,1664
Samsung,All-in-One,Certificado,PCWorld,2000,3900,1536
Lenovo,Laptop,Nuevo,ComputoMx,2022,1200,128
Toshiba,Workstation,Usado,ElectroShop,2017,4500,1536
Lenovo,Gaming,Nuevo,PCWorld,2008,2950,1536
Acer,Workstation,Certificado,PCWorld,2001,4600,256
Samsung,Convertible,Certificado,PCWorld,2024,3600,1152
Apple,Workstation,Usado,TechStore,2010,3950,640
Acer,Convertible,Usado,PCWorld,2011,3700,1536
Asus,Gaming,Nuevo,ElectroShop,2008,3200,128
Lenovo,Gaming,Certificado,GadgetPlus,2016,2200,896
Toshiba,Gaming,Certificado,ComputoMx,2008,3850,128
Lenovo,Gaming,Nuevo,TechStore,2008,3200,1920
Asus,All-in-One,Usado,PCWorld,2008,1050,512
Dell,Desktop,Nuevo,ComputoMx,2003,3050,1536
MSI,Desktop,Nuevo,TechStore,2023,4950,768
Acer,Gaming,Certificado,GadgetPlus,2020,3900,1536
MSI,Desktop,Certificado,ComputoMx,2024,1450,384
Dell,Desktop,Nuevo,ElectroShop,2015,2200,1664
Acer,All-in-One,Usado,TechStore,2010,4500,256
Sony,Workstation,Nuevo,ComputoMx,2004,4300,896
HP,All-in-One,Certificado,ElectroShop,2009,1500,128
Samsung,Laptop,Usado,GadgetPlus,2007,1600,128
Dell,Workstation,Certificado,TechStore,2020,550,1024
Dell,Gaming,Usado,GadgetPlus,2015,4250,384
Asus,Workstation,Nuevo,ComputoMx,2017,2950,896
Sony,Workstation,Usado,GadgetPlus,2017,2350,1664
Dell,All-in-One,Nuevo,ElectroShop,2010,4000,1664
Apple,Laptop,Usado,TechStore,2001,750,1280
Acer,Workstation,Usado,TechStore,2017,1100,1920
Lenovo,Laptop,Usado,ElectroShop,2015,2550,1408
Toshiba,Convertible,Nuevo,TechStore,2022,2050,1792
Apple,Gaming,Usado,ComputoMx,2019,3650,1920
Asus,Gaming,Certificado,ElectroShop,2012,3700,896
Asus,Workstation,Certificado,ComputoMx,2011,3550,1280
Samsung,Desktop,Certificado,ElectroShop,2011,3150,896
Asus,Convertible,Certificado,ElectroShop,2022,2350,640
Sony,Laptop,Nuevo,TechStore,2002,2900,896
MSI,Gaming,Nuevo,TechStore,2002,4100,640
Asus,Gaming,Usado,GadgetPlus,2000,1150,1536
Lenovo,Convertible,Nuevo,PCWorld,2003,500,512
Acer,Convertible,Usado,TechStore,2022,2100,256
MSI,Convertible,Certificado,ElectroShop,2020,2750,1536
Asus,Desktop,Usado,TechStore,2015,2500,384
Acer,Gaming,Certificado,GadgetPlus,2008,4400,1920
Toshiba,All-in-One,Certificado,PCWorld,2022,4500,256
Asus,Desktop,Usado,GadgetPlus,2014,200,1920
Toshiba,Desktop,Nuevo,GadgetPlus,2003,1150,768
Dell,Convertible,Nuevo,ComputoMx,2000,3900,768
HP,Gaming,Usado,ElectroShop,2005,3900,1792
Acer,Desktop,Nuevo,ElectroShop,2016,4450,128
Sony,Convertible,Usado,GadgetPlus,2008,2550,512
Asus,Gaming,Usado,PCWorld,2014,200,1408
Asus,Workstation,Certificado,GadgetPlus,2001,3100,1408
Toshiba,Laptop,Nuevo,ElectroShop,2004,1950,1920
Acer,Workstation,Nuevo,PCWorld,2017,1350,512
Sony,Convertible,Usado,TechStore,2009,4450,1920
Dell,Desktop,Usado,TechStore,2012,3450,512
Dell,Desktop,Nuevo,ComputoMx,2013,4450,896
Samsung,Desktop,Certificado,TechStore,2011,2950,1408
Sony,Desktop,Usado,TechStore,2002,1150,1920
Samsung,All-in-One,Usado,TechStore,2020,550,384
Samsung,Gaming,Nuevo,ElectroShop,2023,3650,640
MSI,Gaming,Nuevo,GadgetPlus,2017,3850,1920
Samsung,Convertible,Usado,GadgetPlus,2024,2650,768
Sony,Workstation,Usado,GadgetPlus,2016,1800,1408
Asus,Desktop,Usado,PCWorld,2000,4500,1664
Dell,Convertible,Usado,TechStore,2015,4600,256
Dell,All-in-One,Certificado,ComputoMx,2009,1950,1664
Dell,All-in-One,Nuevo,TechStore,2013,2250,640
Samsung,All-in-One,Certificado,TechStore,2017,4750,1536
HP,Gaming,Usado,ComputoMx,2015,1650,1664
MSI,Workstation,Nuevo,ComputoMx,2011,1700,640
Apple,Laptop,Usado,ElectroShop,2012,4750,1664
Samsung,Laptop,Certificado,PCWorld,2014,1750,384
HP,All-in-One,Usado,GadgetPlus,2015,2150,1664
MSI,Convertible,Usado,TechStore,2008,3600,1920
Dell,Workstation,Certificado,PCWorld,2003,3950,128
Apple,Workstation,Certificado,ElectroShop,2004,2650,1280
MSI,Convertible,Nuevo,GadgetPlus,2011,1250,896
Sony,All-in-One,Usado,ComputoMx,2008,4700,512
MSI,Convertible,Certificado,TechStore,2019,3150,256
Acer,Laptop,Usado,PCWorld,2008,2000,640
MSI,Workstation,Certificado,ComputoMx,2011,1050,640
Samsung,Laptop,Nuevo,ElectroShop,2007,3850,1920
Toshiba,All-in-One,Usado,PCWorld,2008,3000,1408
Acer,Convertible,Nuevo,PCWorld,2003,1450,768
MSI,All-in-One,Usado,GadgetPlus,2007,1900,1408
Toshiba,Convertible,Usado,ComputoMx,2000,3000,768
Apple,Gaming,Nuevo,TechStore,2004,4300,128
HP,All-in-One,Nuevo,TechStore,2021,2250,768
Samsung,All-in-One,Nuevo,ComputoMx,2024,3650,1280
Acer,All-in-One,Usado,PCWorld,2007,1250,1920
Dell,Workstation,Usado,GadgetPlus,2024,2350,1152
Dell,Gaming,Usado,PCWorld,2024,1900,768
Dell,Convertible,Usado,PCWorld,2010,3150,768
Asus,Desktop,Certificado,TechStore,2001,3050,1792
Acer,Workstation,Nuevo,ElectroShop,2011,3550,1280
Asus,Desktop,Nuevo,PCWorld,2004,4550,384
Asus,All-in-One,Usado,GadgetPlus,2006,1400,640
Samsung,Desktop,Usado,GadgetPlus,2021,1150,768
Toshiba,Gaming,Certificado,GadgetPlus,2010,4900,1920
HP,Gaming,Usado,TechStore,2014,4600,1920
Sony,Desktop,Usado,PCWorld,2007,3600,384
HP,Desktop,Usado,TechStore,2004,3900,1024
Apple,All-in-One,Certificado,TechStore,2022,3350,128
Asus,All-in-One,Certificado,ElectroShop,2014,1350,1408
Toshiba,Convertible,Certificado,GadgetPlus,2024,3000,1536
Lenovo,Gaming,Nuevo,TechStore,2021,3750,512
Dell,Laptop,Nuevo,TechStore,2024,4000,128
Dell,Workstation,Usado,ComputoMx,2014,4000,1920
Apple,All-in-One,Usado,ComputoMx,2017,2900,1920
Apple,Gaming,Usado,ElectroShop,2000,2300,640
Samsung,Gaming,Nuevo,ComputoMx,2019,4150,896
Acer,Workstation,Certificado,TechStore,2013,3900,768
Acer,Desktop,Certificado,TechStore,2023,1450,1664
MSI,Desktop,Usado,TechStore,2014,2450,1408
MSI,Laptop,Usado,ComputoMx,2021,2050,1920
MSI,All-in-One,Nuevo,TechStore,2005,2700,128
MSI,Gaming,Certificado,ComputoMx,2009,4450,128
HP,Gaming,Usado,TechStore,2003,1700,512
Samsung,Convertible,Certificado,ElectroShop,2016,2000,128
Samsung,Workstation,Nuevo,ElectroShop,2007,3000,768
Toshiba,Workstation,Usado,ElectroShop,2021,2700,256
Samsung,All-in-One,Usado,ElectroShop,2019,1750,640
Acer,All-in-One,Usado,ComputoMx,2022,1350,896
Asus,Workstation,Nuevo,ComputoMx,2013,4350,1664
Sony,Desktop,Nuevo,ElectroShop,2014,3550,1280
Apple,Convertible,Nuevo,TechStore,2015,1800,1536
Dell,Gaming,Certificado,ElectroShop,2015,3100,1280
MSI,All-in-One,Nuevo,GadgetPlus,2018,2550,1920
Asus,Workstation,Usado,ElectroShop,2016,4400,1792
Samsung,Convertible,Nuevo,GadgetPlus,2008,4450,1408
Acer,Gaming,Usado,ComputoMx,2015,4350,1152
Dell,All-in-One,Certificado,TechStore,2006,1250,1280
Samsung,Gaming,Usado,GadgetPlus,2002,4900,1280
Acer,Gaming,Nuevo,ComputoMx,2016,1450,1536
HP,Convertible,Usado,ElectroShop,2007,4150,1408
Apple,Gaming,Nuevo,ElectroShop,2001,500,1152
Lenovo,Laptop,Certificado,GadgetPlus,2022,2850,1280
Asus,Convertible,Usado,ElectroShop,2019,3300,1536
Acer,Workstation,Usado,ComputoMx,2019,3200,1792
Asus,All-in-One,Nuevo,ElectroShop,2011,2300,128
Asus,Desktop,Usado,GadgetPlus,2013,1550,512
Apple,Gaming,Certificado,ComputoMx,2001,650,1920
Lenovo,Desktop,Nuevo,PCWorld,2016,350,640
HP,Desktop,Usado,GadgetPlus,2006,2900,1536
Toshiba,Convertible,Usado,ComputoMx,2021,4450,256
HP,All-in-One,Usado,ElectroShop,2004,1600,1664
Lenovo,Gaming,Certificado,ElectroShop,2007,3200,1408
Dell,Laptop,Certificado,GadgetPlus,2014,4700,1024
Sony,Convertible,Usado,ComputoMx,2003,1400,384
Lenovo,Workstation,Usado,ElectroShop,2016,4650,768
HP,All-in-One,Usado,ElectroShop,2000,4300,128
Samsung,All-in-One,Certificado,PCWorld,2001,3450,1152
MSI,All-in-One,Usado,GadgetPlus,2014,1550,768
Lenovo,Workstation,Certificado,ComputoMx,2009,2650,256
Samsung,All-in-One,Nuevo,ComputoMx,2011,1300,384
Sony,Laptop,Usado,GadgetPlus,2022,3000,1152
Sony,Gaming,Nuevo,GadgetPlus,2018,4250,768
Samsung,Gaming,Nuevo,ComputoMx,2015,2850,256
Samsung,All-in-One,Certificado,ElectroShop,2010,850,1664
Toshiba,Desktop,Certificado,PCWorld,2014,3400,896
Asus,Desktop,Nuevo,ElectroShop,2021,2900,1536
HP,Convertible,Certificado,PCWorld,2005,4350,768
Sony,Laptop,Certificado,ElectroShop,2022,1650,640
HP,Convertible,Nuevo,ElectroShop,2004,1300,1792
HP,Desktop,Nuevo,ElectroShop,2014,4450,1024
Samsung,Gaming,Nuevo,PCWorld,2012,1450,1920
Toshiba,Convertible,Usado,ElectroShop,2011,4450,1664
Lenovo,Workstation,Usado,PCWorld,2018,4050,1920
Toshiba,Laptop,Usado,GadgetPlus,2022,4250,512
Dell,Laptop,Certificado,GadgetPlus,2018,4200,768
HP,Desktop,Usado,ElectroShop,2016,1650,640
Asus,Laptop,Nuevo,ComputoMx,2005,2850,896
Acer,All-in-One,Certificado,ElectroShop,2018,4350,640
Apple,Laptop,Nuevo,PCWorld,2016,2300,384
HP,All-in-One,Certificado,TechStore,2017,3550,1152
Acer,Laptop,Certificado,GadgetPlus,2013,750,1920
Toshiba,Desktop,Certificado,GadgetPlus,2018,2200,384
HP,Laptop,Nuevo,TechStore,2015,1750,896
Toshiba,Convertible,Nuevo,ElectroShop,2004,850,1920
Asus,All-in-One,Certificado,ComputoMx,2002,1650,1408
Asus,Convertible,Usado,GadgetPlus,2007,3100,512
Lenovo,Desktop,Certificado,ElectroShop,2000,3500,1920
Lenovo,All-in-One,Nuevo,PCWorld,2011,550,1408
Lenovo,Convertible,Certificado,GadgetPlus,2007,4000,1280
Toshiba,Gaming,Usado,PCWorld,2017,2450,1408
Toshiba,Laptop,Nuevo,ComputoMx,2007,2950,1920
Apple,Convertible,Certificado,ElectroShop,2019,2500,640
Sony,Workstation,Certificado,PCWorld,2006,2200,1792
Sony,Laptop,Certificado,ElectroShop,2002,1550,1280
Asus,Desktop,Nuevo,PCWorld,2012,2100,1664
Acer,Gaming,Usado,TechStore,2023,1900,896
Dell,Desktop,Nuevo,ComputoMx,2006,3650,768
Apple,Laptop,Certificado,PCWorld,2002,300,1792
Apple,Gaming,Usado,GadgetPlus,2007,1900,1920
Samsung,Convertible,Usado,PCWorld,2007,1200,1152
HP,Convertible,Certificado,ElectroShop,2024,650,1408
Dell,Gaming,Usado,GadgetPlus,2016,2150,128
MSI,Desktop,Nuevo,ElectroShop,2020,1650,256
Asus,Gaming,Certificado,TechStore,2007,4150,256
Acer,Laptop,Usado,ElectroShop,2016,2300,384
Toshiba,Desktop,Certificado,GadgetPlus,2013,3100,1024
HP,Desktop,Certificado,PCWorld,2023,3300,768
Samsung,All-in-One,Certificado,TechStore,2020,2450,128
MSI,Convertible,Certificado,ComputoMx,2011,4000,1920
Acer,Workstation,Usado,TechStore,2024,3850,1664
Asus,Laptop,Nuevo,GadgetPlus,2007,4150,1792
HP,Workstation,Nuevo,ComputoMx,2002,4050,128
MSI,All-in-One,Certificado,ElectroShop,2003,3500,1920
Toshiba,Gaming,Certificado,ComputoMx,2018,4450,640
MSI,All-in-One,Usado,TechStore,2008,2600,640
Acer,Gaming,Certificado,GadgetPlus,2017,950,1536
Apple,Gaming,Certificado,PCWorld,2020,3300,1920
Apple,Desktop,Certificado,TechStore,2002,2200,1664
Samsung,Desktop,Nuevo,GadgetPlus,2019,3550,512
HP,Desktop,Nuevo,ElectroShop,2006,2450,1024
Samsung,Convertible,Nuevo,TechStore,2000,1450,256
Lenovo,Laptop,Certificado,GadgetPlus,2021,1350,1920
Dell,Desktop,Certificado,TechStore,2018,4950,768
Asus,Workstation,Usado,PCWorld,2018,4250,384
HP,Gaming,Nuevo,PCWorld,2007,3350,1664
Sony,Laptop,Nuevo,ElectroShop,2023,4500,1792
Samsung,Convertible,Nuevo,GadgetPlus,2004,4950,1664
Acer,Workstation,Usado,PCWorld,2004,2350,1152
Dell,Desktop,Certificado,TechStore,2007,1450,1280
Toshiba,Convertible,Nuevo,TechStore,2008,1900,1792
Lenovo,Gaming,Certificado,PCWorld,2020,1500,1920
HP,All-in-One,Certificado,TechStore,2004,3300,1536
MSI,Workstation,Usado,GadgetPlus,2011,3150,128
Asus,Convertible,Certificado,ComputoMx,2006,4400,896
Sony,Workstation,Certificado,GadgetPlus,2021,2700,1408
Dell,All-in-One,Nuevo,PCWorld,2024,4500,1280
Dell,Workstation,Certificado,TechStore,2013,2650,1280
Dell,Laptop,Certificado,ElectroShop,2001,2000,1280
Sony,Workstation,Usado,ComputoMx,2003,3200,1280
Samsung,Convertible,Nuevo,TechStore,2016,4750,384
Samsung,Gaming,Nuevo,GadgetPlus,2008,1000,896
Samsung,Convertible,Nuevo,GadgetPlus,2013,3400,1024
Toshiba,Convertible,Usado,GadgetPlus,2010,3450,1792
Dell,Laptop,Nuevo,PCWorld,2005,2000,1792
Asus,All-in-One,Nuevo,ElectroShop,2008,850,256
Lenovo,Workstation,Certificado,ElectroShop,2002,1950,512
Apple,All-in-One,Certificado,ComputoMx,2017,3250,768
Asus,All-in-One,Nuevo,PCWorld,2021,3900,896
Apple,Convertible,Certificado,PCWorld,2018,3850,384
Samsung,All-in-One,Usado,ElectroShop,2021,1550,1280
Lenovo,Workstation,Usado,ComputoMx,2023,1900,1920
Acer,Convertible,Certificado,ElectroShop,2002,4000,896
HP,All-in-One,Certificado,TechStore,2009,4900,384
Lenovo,Gaming,Nuevo,ComputoMx,2022,2300,1408
Asus,Gaming,Nuevo,ElectroShop,2010,500,768
Toshiba,Convertible,Usado,TechStore,2014,850,1664
Samsung,Desktop,Nuevo,TechStore,2010,850,1408
Acer,Gaming,Nuevo,GadgetPlus,2018,4300,128
Asus,Workstation,Certificado,ComputoMx,2014,1550,1024
Sony,Gaming,Usado,TechStore,2001,3950,128
Dell,Convertible,Certificado,ComputoMx,2007,1950,896
Dell,All-in-One,Nuevo,TechStore,2018,1050,1664
Dell,All-in-One,Nuevo,TechStore,2004,2250,896
Apple,All-in-One,Nuevo,TechStore,2021,1050,1920
MSI,All-in-One,Usado,TechStore,2002,4050,1280
Toshiba,Convertible,Usado,GadgetPlus,2005,250,1024
Acer,Gaming,Nuevo,TechStore,2000,2450,1280
Dell,All-in-One,Certificado,ElectroShop,2003,2300,512
Dell,All-in-One,Usado,PCWorld,2001,2600,1792
Dell,All-in-One,Certificado,ElectroShop,2009,3300,512
Lenovo,Laptop,Nuevo,ElectroShop,2018,2150,1024
MSI,Desktop,Certificado,PCWorld,2021,400,512
Asus,Laptop,Usado,ComputoMx,2024,200,1536
Dell,Convertible,Certificado,TechStore,2011,700,1152
Dell,Desktop,Nuevo,ElectroShop,2019,700,1408
MSI,All-in-One,Usado,TechStore,2024,4250,1024
Asus,Laptop,Certificado,GadgetPlus,2008,800,768
Toshiba,Convertible,Certificado,GadgetPlus,2024,3350,512
Lenovo,Workstation,Nuevo,ElectroShop,2016,3700,1664
Apple,All-in-One,Certificado,TechStore,2004,2600,512
Sony,Workstation,Certificado,GadgetPlus,2012,2850,1408
MSI,Laptop,Usado,TechStore,2012,4650,384
HP,Gaming,Certificado,PCWorld,2010,3200,1920
Acer,Gaming,Certificado,GadgetPlus,2004,2500,128
Sony,Desktop,Nuevo,TechStore,2005,900,512
Asus,All-in-One,Usado,PCWorld,2018,4850,640
Asus,Laptop,Certificado,GadgetPlus,2009,2850,128
Toshiba,All-in-One,Certificado,TechStore,2024,3850,640
Asus,Workstation,Certificado,PCWorld,2023,4300,1408
Sony,Workstation,Usado,ComputoMx,2024,4900,1280
Lenovo,Workstation,Usado,ElectroShop,2017,550,512
MSI,Workstation,Usado,PCWorld,2012,350,1280
Sony,Laptop,Nuevo,PCWorld,2005,1450,1024
Toshiba,Gaming,Usado,TechStore,2022,400,1408
MSI,Gaming,Nuevo,ComputoMx,2005,1400,768
Lenovo,Desktop,Usado,ElectroShop,2012,4450,768
Dell,Desktop,Certificado,GadgetPlus,2019,250,896
Toshiba,Workstation,Usado,ElectroShop,2018,3300,1280
Samsung,Workstation,Usado,ElectroShop,2000,2900,512
Lenovo,Workstation,Usado,GadgetPlus,2000,1150,1408
Lenovo,All-in-One,Certificado,TechStore,2018,700,1792
Toshiba,Workstation,Usado,ComputoMx,2015,650,384
Asus,Gaming,Nuevo,ComputoMx,2001,3450,256
Dell,Laptop,Usado,PCWorld,2012,2950,128
Toshiba,Laptop,Nuevo,ElectroShop,2017,4200,768
MSI,Gaming,Usado,ComputoMx,2000,1200,768
Lenovo,Convertible,Usado,TechStore,2010,1300,1536
MSI,Gaming,Nuevo,ComputoMx,2002,550,768
Apple,Convertible,Certificado,GadgetPlus,2000,3950,1280
Apple,Workstation,Certificado,GadgetPlus,2020,3800,896
Acer,Desktop,Usado,TechStore,2014,4500,1408
Asus,Workstation,Certificado,ComputoMx,2015,3850,256
HP,Desktop,Certificado,TechStore,2006,650,1664
Asus,Convertible,Nuevo,GadgetPlus,2014,350,1280
Lenovo,Laptop,Certificado,ElectroShop,2015,2550,512
Acer,Workstation,Nuevo,TechStore,2010,1000,384
Lenovo,Workstation,Nuevo,TechStore,2006,3250,768
HP,All-in-One,Nuevo,PCWorld,2017,1050,896
HP,Laptop,Nuevo,GadgetPlus,2012,3250,1024
MSI,Gaming,Usado,ComputoMx,2009,3700,256
Asus,Desktop,Usado,ComputoMx,2024,4800,896
Apple,Convertible,Nuevo,GadgetPlus,2001,3250,640
HP,Laptop,Nuevo,ComputoMx,2010,3800,256
Sony,Gaming,Certificado,ElectroShop,2019,450,768
MSI,All-in-One,Usado,GadgetPlus,2023,3750,1536
Toshiba,All-in-One,Usado,GadgetPlus,2001,2650,768
Acer,Workstation,Nuevo,ElectroShop,2001,3900,1024
Lenovo,Laptop,Nuevo,ComputoMx,2022,3550,256
Dell,Convertible,Nuevo,PCWorld,2018,3350,384
HP,Convertible,Certificado,ElectroShop,2024,1700,1024
HP,Desktop,Certificado,ComputoMx,2022,3150,512
Sony,All-in-One,Usado,ComputoMx,2024,4600,1536
Samsung,Gaming,Usado,PCWorld,2009,1300,768
Acer,Gaming,Usado,ElectroShop,2018,1000,768
HP,Laptop,Usado,PCWorld,2003,2300,1024
HP,All-in-One,Certificado,PCWorld,2011,3800,384
Acer,Workstation,Usado,ElectroShop,2012,3300,1664
MSI,All-in-One,Usado,GadgetPlus,2017,1100,1280
Lenovo,Desktop,Certificado,TechStore,2012,2800,1920
Lenovo,Convertible,Nuevo,GadgetPlus,2023,4100,1536
Lenovo,Workstation,Usado,TechStore,2014,3900,512
Sony,All-in-One,Nuevo,TechStore,2010,1500,896
Sony,Desktop,Certificado,ComputoMx,2023,4600,1536
Acer,Workstation,Nuevo,GadgetPlus,2024,350,768
Apple,Convertible,Usado,GadgetPlus,2012,4650,1664
Apple,Gaming,Usado,TechStore,2007,3000,1280
HP,All-in-One,Nuevo,ComputoMx,2024,3850,256
HP,Convertible,Certificado,ElectroShop,2001,3150,896
Acer,Laptop,Usado,TechStore,2000,3150,1664
Asus,All-in-One,Certificado,TechStore,2024,1350,1280
Sony,Gaming,Nuevo,ElectroShop,2004,3100,1792
Dell,Workstation,Usado,GadgetPlus,2014,2100,1792
Asus,Convertible,Certificado,PCWorld,2002,500,1024
Dell,Gaming,Nuevo,TechStore,2017,600,1024
Apple,Laptop,Nuevo,GadgetPlus,2014,1100,512
Apple,Convertible,Certificado,PCWorld,2009,1250,256
Samsung,Laptop,Certificado,GadgetPlus,2003,3150,1536
Asus,Convertible,Nuevo,TechStore,2022,2400,512
MSI,Gaming,Nuevo,ComputoMx,2018,3000,1920
Acer,Desktop,Nuevo,PCWorld,2016,3050,1536
HP,Workstation,Certificado,ElectroShop,2001,4200,1920
Asus,Desktop,Usado,TechStore,2000,450,1280
Dell,Laptop,Nuevo,GadgetPlus,2019,2100,1024
Asus,Convertible,Certificado,ElectroShop,2003,4150,1408
Sony,Gaming,Nuevo,PCWorld,2005,4650,1024
Sony,Convertible,Usado,GadgetPlus,2005,4450,384
HP,Desktop,Certificado,TechStore,2010,3800,1024
Asus,Convertible,Usado,TechStore,2014,650,1024
Sony,Desktop,Certificado,GadgetPlus,2013,4300,1792
Sony,Desktop,Certificado,ElectroShop,2020,250,512
Dell,Convertible,Nuevo,GadgetPlus,2011,3600,1280
HP,Laptop,Nuevo,ElectroShop,2011,250,640
Sony,Convertible,Usado,ComputoMx,2008,1850,512
Asus,Laptop,Usado,PCWorld,2012,3900,1280
Asus,Desktop,Certificado,PCWorld,2010,1100,1664
Apple,Gaming,Nuevo,TechStore,2021,4250,640
Toshiba,Gaming,Usado,PCWorld,2008,2150,768
Sony,All-in-One,Certificado,TechStore,2003,2950,256
Dell,All-in-One,Certificado,ElectroShop,2021,4850,1280
HP,Laptop,Certificado,ElectroShop,2011,3500,1408
Apple,Gaming,Nuevo,ElectroShop,2015,3050,1664
Toshiba,Gaming,Usado,PCWorld,2006,800,1792
Apple,Gaming,Usado,ComputoMx,2002,4400,128
Asus,Gaming,Certificado,PCWorld,2020,3900,256
MSI,Convertible,Nuevo,TechStore,2005,800,1280
HP,All-in-One,Usado,ElectroShop,2013,2950,1536
Lenovo,Laptop,Usado,TechStore,2008,4300,384
Asus,Desktop,Nuevo,GadgetPlus,2002,1750,1664
Acer,All-in-One,Certificado,GadgetPlus,2022,4300,1920
Samsung,All-in-One,Nuevo,TechStore,2010,800,1280
HP,Laptop,Usado,ElectroShop,2022,1750,512
Toshiba,All-in-One,Nuevo,TechStore,2021,4150,384
Acer,Convertible,Nuevo,GadgetPlus,2000,3350,768
Sony,Workstation,Nuevo,PCWorld,2001,3750,1536
Acer,Desktop,Nuevo,TechStore,2022,4850,1664
Asus,Desktop,Certificado,ElectroShop,2011,1450,1024
Asus,All-in-One,Nuevo,TechStore,2003,3450,256
HP,Convertible,Usado,GadgetPlus,2020,900,640
HP,Desktop,Certificado,TechStore,2018,4100,512
MSI,Laptop,Nuevo,TechStore,2000,3200,896
MSI,Desktop,Usado,ComputoMx,2003,1250,1024
HP,Gaming,Usado,TechStore,2017,4200,128
Apple,All-in-One,Certificado,PCWorld,2012,2950,1280
Toshiba,Desktop,Usado,TechStore,2022,4600,1024
Sony,Laptop,Usado,GadgetPlus,2015,800,640
MSI,Gaming,Nuevo,ElectroShop,2005,4800,1792
Asus,Laptop,Usado,PCWorld,2021,3950,896
Acer,All-in-One,Nuevo,TechStore,2007,4750,1792
Toshiba,All-in-One,Certificado,GadgetPlus,2018,2500,768
Sony,Convertible,Usado,GadgetPlus,2000,3400,1152
HP,Desktop,Certificado,PCWorld,2023,1750,1024
Sony,Desktop,Nuevo,GadgetPlus,2020,650,1536
Sony,Desktop,Nuevo,GadgetPlus,2004,2200,1024
Acer,All-in-One,Usado,ComputoMx,2023,2850,1920
Apple,Desktop,Certificado,TechStore,2024,3300,896
Acer,Desktop,Certificado,PCWorld,2009,2250,896
Toshiba,Desktop,Nuevo,ComputoMx,2021,1850,1920
Sony,All-in-One,Usado,TechStore,2013,3600,1152
Toshiba,Gaming,Certificado,TechStore,2018,3900,128
MSI,All-in-One,Nuevo,GadgetPlus,2019,500,640
Acer,All-in-One,Usado,GadgetPlus,2016,3150,640
MSI,Workstation,Usado,ComputoMx,2017,4000,384
Lenovo,All-in-One,Nuevo,ComputoMx,2005,1750,1152
Lenovo,Laptop,Certificado,ComputoMx,2000,1950,1664
HP,All-in-One,Certificado,ElectroShop,2004,3850,1024
Apple,Desktop,Nuevo,ComputoMx,2013,1700,256
HP,All-in-One,Certificado,ElectroShop,2001,1350,384
